link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no
https://vk.com/wall-33327655_7621	2018_1.1	2018-10-23	2018	10	23	0:00	1.1	1	1
https://vk.com/wall-33327655_7479	2018_1.2	2018-10-12	2018	10	12	21:45	1.2	1	2
https://vk.com/wall-33327655_7645	2018_1.3	2018-10-23	2018	10	23	23:38	1.3	1	3
https://vk.com/wall-33327655_7622	2018_2.1	2018-10-23	2018	10	23	0:03	2.1	2	1
https://vk.com/wall-33327655_7644	2018_2.3	2018-10-23	2018	10	23	23:19	2.3	2	3
https://vk.com/wall-33327655_7619	2018_3.1	2018-10-21	2018	10	21	23:45	3.1	3	1
https://vk.com/wall-33327655_7657	2018_3.2	2018-10-25	2018	10	25	0:10	3.2	3	2
https://vk.com/wall-33327655_7552	2018_3.3	2018-10-17	2018	10	17	23:27	3.3	3	3
https://vk.com/wall-33327655_7623	2018_3.4	2018-10-23	2018	10	23	0:06	3.4	3	4
https://vk.com/wall-33327655_7667	2018_4.1	2018-10-25	2018	10	25	21:44	4.1	4	1
https://vk.com/wall-33327655_7735	2018_4.2	2018-11-15	2018	11	15	0:02	4.2	4	2
https://vk.com/wall-33327655_7602	2018_4.3	2018-10-18	2018	10	18	21:37	4.3	4	3
https://vk.com/wall-33327655_7656	2018_5.3	2018-10-25	2018	10	25	0:01	5.3	5	3
https://vk.com/wall-33327655_7620	2018_5.4	2018-10-21	2018	10	21	23:49	5.4	5	4
https://vk.com/wall-33327655_7610	2018_6.1	2018-10-18	2018	10	18	23:17	6.1	6	1
https://vk.com/wall-33327655_7606	2018_6.2	2018-10-18	2018	10	18	22:09	6.2	6	2
https://vk.com/wall-33327655_7518	2018_m1	2018-10-16	2018	10	16	21:30	m1	1	0
