link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no	stream_size	voted_cnt	invalid_cnt	NOTA_cnt	organizers
https://vk.com/wall-33327655_9356	2020_1.1	2020-11-12	2020	11	12	16:03	1.1	1	1	153	77	1	1	['Георгием Малиновским', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9355	2020_1.2	2020-11-11	2020	11	11	22:02	1.2	1	2	161	84	2	2	['Софьей Евдокимовой', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9351	2020_1.3	2020-11-11	2020	11	11	19:03	1.3	1	3	122	68	0	0	['Георгием Малиновским', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9342	2020_2.1	2020-11-11	2020	11	11	16:03	2.1	2	1	150	76	7	2	['Софьей Евдокимовой', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9340	2020_2.2	2020-11-11	2020	11	11	13:03	2.2	2	2	148	75	0	8	['Софьей Евдокимовой', 'Алёной Лобановой']
https://vk.com/wall-33327655_9357	2020_2.3	2020-11-12	2020	11	12	21:28	2.3	2	3	103	56	0	1	['Георгием Малиновским', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9328	2020_3.1	2020-11-09	2020	11	9	21:57	3.1	3	1	104	52	2	0	['Софьей Евдокимовой']
https://vk.com/wall-33327655_9317	2020_3.2	2020-11-08	2020	11	8	20:09	3.2	3	2	118	59	0	11	['Георгием Малиновским', 'Алёной Лобановой']
https://vk.com/wall-33327655_9326	2020_3.3	2020-11-09	2020	11	9	18:19	3.3	3	3	111	59	1	0	['Георгием Малиновским', 'Софьей Евдокимовой']
https://vk.com/wall-33327655_9321	2020_3.4	2020-11-09	2020	11	9	12:06	3.4	3	4	46	24	1	0	['Георгием Малиновским']
https://vk.com/wall-33327655_9316	2020_4.1	2020-11-08	2020	11	8	17:18	4.1	4	1	91	54	1	0	['Андреем Клюевым', 'Алёной Лобановой', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9333	2020_4.2	2020-11-10	2020	11	10	21:09	4.2	4	2	116	58	0	2	['Андреем Клюевым', 'Георгием Малиновским']
https://vk.com/wall-33327655_9282	2020_4.3	2020-11-06	2020	11	6	15:09	4.3	4	3	93	49	0	2	['Георгием Малиновским']
https://vk.com/wall-33327655_9272	2020_4.4	2020-11-06	2020	11	6	10:27	4.4	4	4	38	20	0	0	['Андреем Клюевым']
https://vk.com/wall-33327655_9334	2020_5.1	2020-11-11	2020	11	11	10:04	5.1	5	1	90	47	3	3	['Андреем Клюевым', 'Алёной Лобановой', 'Кириллом Дехничем']
https://vk.com/wall-33327655_9268	2020_5.4	2020-11-05	2020	11	5	23:37	5.4	5	4	42	21	0	0	['Андреем Клюевым']
https://vk.com/wall-33327655_9267	2020_6.1	2020-11-05	2020	11	5	22:14	6.1	6	1	78	39	0	11	['Андреем Клюевым', 'Георгием Малиновским']
https://vk.com/wall-33327655_9205	2020_6.3	2020-11-02	2020	11	2	20:30	6.3	6	3	80	42	0	3	['Андреем Клюевым', 'Петром Третьяковым']
https://vk.com/wall-33327655_9310	2020_m2	2020-11-07	2020	11	7	22:38	m2	2	0	18	12	0	0	['Андреем Клюевым', 'Алёной Лобановой']
