year_x_year_stream	organizers
2018_1.1	Георгием Малиновским
2018_1.1	Олегом Бузенковым
2018_1.3	Сенотовым Валерием
2018_1.3	Малиновским Георгием
2018_2.1	Валерией Фиткович
2018_2.1	Николаем Малаховым
2018_2.3	Сенотовым Валерием
2018_2.3	Малиновским Георгием
2018_3.1	Валерием Сенотовым
2018_3.1	Александром Тонконоговым
2018_3.2	Ильёй Денисовым
2018_3.2	Дарьей Волковой
2018_3.3	Валерием Сенотовым
2018_3.3	Александром Тонконоговым
2018_3.4	Валерием Сенотовым
2018_3.4	Александром Тонконоговым
2018_4.1	Денисовым Ильей
2018_4.1	Воробьевой Наталией
2018_4.2	Валерием Сенотовым
2018_4.2	Анастасией Красновой
2018_4.3	Вероникой Мазитовой
2018_4.3	Николаем Малаховым
2018_5.3	Георгием Малиновским
2018_5.3	Марией Хаховой
2018_5.4	Матвеем Кудасовым
2018_5.4	Валерием Сенотовым
2018_6.1	Валерием Сенотовым
2018_6.1	Марией Корней
2018_6.2	Марией Корней
2018_6.2	Валерием Сенотовым
2018_m1	Сенотовым Валерием
2018_m1	Тонконоговым Александром
