year_x_year_stream	organizers
2018_4.2	Валерием Сенотовым
2018_4.2	Анастасией Красновой
2018_4.3	Вероникой Мазитовой
2018_4.3	Николаем Малаховым
2018_5.3	Георгием Малиновским
2018_5.3	Марией Хаховой
2018_5.4	Матвеем Кудасовым
2018_5.4	Валерием Сенотовым
2018_6.1	Валерием Сенотовым
2018_6.1	Марией Корней
2018_6.2	Марией Корней
2018_6.2	Валерием Сенотовым
2018_m1	Сенотовым Валерием
2018_m1	Тонконоговым Александром
2019_1.1	Иваном Кухарчук
2019_1.1	Андреем Клюевым
2019_1.2	Георгием Малиновским
2019_1.3	Георгием Малиновским
2019_1.3	Андреем Клюевым
2019_2.1	Георгием Малиновским
2019_2.1	Игнатом Шишкиным
2019_2.2	Андреем Шерстобитовым
2019_2.2	Рамилем Алиевым
2019_2.3	Иваном Кухарчук
2019_2.3	Андреем Клюевым
2019_3.1	Георгием Малиновским
2019_3.1	Игнатом Шишкиным
2019_3.2	Игнатом Шишкиным
2019_3.2	Георгием Малиновским
2019_3.3	Валерией Фиткович
2019_3.3	Георгием Малиновским
2019_3.3	Дмитрием Митрофановым
2019_3.4	Валерием Сенотовым
2019_4.1	Андреем Клюевым
2019_4.1	Георгием Малиновским
2019_4.3	Иваном Кухарчук
2019_4.3	Андреем Клюевым
2019_4.4	Татьяной Паниной
2019_5.1	Даниилом Фенелоновым
2019_5.1	Вероникой Мазитовой
2019_5.2	Даниилом Фенелоновым
2019_5.2	Вероникой Мазитовой
2019_6.3	Алиной Винокуровой
2019_6.3	Игнатом Шишкиным
2019_6.3	Рамилем Алиевым
2019_6.4	Георгием Малиновским
2019_m1	Валерием Сенотовым
2019_m2	Дмитрием Скурихиным
2019_m2	Георгием Малиновским
2020_1.1	Георгием Малиновским
2020_1.1	Кириллом Дехничем
2020_1.2	Софьей Евдокимовой
2020_1.2	Кириллом Дехничем
2020_1.3	Георгием Малиновским
2020_1.3	Кириллом Дехничем
2020_2.1	Софьей Евдокимовой
2020_2.1	Кириллом Дехничем
2020_2.2	Софьей Евдокимовой
2020_2.2	Алёной Лобановой
2020_2.3	Георгием Малиновским
2020_2.3	Кириллом Дехничем
2020_3.1	Софьей Евдокимовой
2020_3.2	Георгием Малиновским
2020_3.2	Алёной Лобановой
2020_3.3	Георгием Малиновским
2020_3.3	Софьей Евдокимовой
2020_3.4	Георгием Малиновским
2020_4.1	Андреем Клюевым
2020_4.1	Алёной Лобановой
2020_4.1	Кириллом Дехничем
2020_4.2	Андреем Клюевым
2020_4.2	Георгием Малиновским
2020_4.3	Георгием Малиновским
2020_4.4	Андреем Клюевым
2020_5.1	Андреем Клюевым
2020_5.1	Алёной Лобановой
2020_5.1	Кириллом Дехничем
2020_5.4	Андреем Клюевым
2020_6.1	Андреем Клюевым
2020_6.1	Георгием Малиновским
2020_6.3	Андреем Клюевым
2020_6.3	Петром Третьяковым
2020_m2	Андреем Клюевым
2020_m2	Алёной Лобановой
2021_1.1	Георгием Малиновским
2021_1.1	Дарьей Мельниковой
2021_1.2	Георгием Малиновским
