link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no
https://vk.com/wall-33327655_7621	2018_1.1	2018-10-23	2018	10	23	0:00	1.1	1	1
https://vk.com/wall-33327655_7479	2018_1.2	2018-10-12	2018	10	12	21:45	1.2	1	2
https://vk.com/wall-33327655_7645	2018_1.3	2018-10-23	2018	10	23	23:38	1.3	1	3
https://vk.com/wall-33327655_7622	2018_2.1	2018-10-23	2018	10	23	0:03	2.1	2	1
https://vk.com/wall-33327655_7644	2018_2.3	2018-10-23	2018	10	23	23:19	2.3	2	3
https://vk.com/wall-33327655_7619	2018_3.1	2018-10-21	2018	10	21	23:45	3.1	3	1
https://vk.com/wall-33327655_7657	2018_3.2	2018-10-25	2018	10	25	0:10	3.2	3	2
https://vk.com/wall-33327655_7552	2018_3.3	2018-10-17	2018	10	17	23:27	3.3	3	3
https://vk.com/wall-33327655_7623	2018_3.4	2018-10-23	2018	10	23	0:06	3.4	3	4
https://vk.com/wall-33327655_7667	2018_4.1	2018-10-25	2018	10	25	21:44	4.1	4	1
https://vk.com/wall-33327655_7735	2018_4.2	2018-11-15	2018	11	15	0:02	4.2	4	2
https://vk.com/wall-33327655_7602	2018_4.3	2018-10-18	2018	10	18	21:37	4.3	4	3
https://vk.com/wall-33327655_7656	2018_5.3	2018-10-25	2018	10	25	0:01	5.3	5	3
https://vk.com/wall-33327655_7620	2018_5.4	2018-10-21	2018	10	21	23:49	5.4	5	4
https://vk.com/wall-33327655_7610	2018_6.1	2018-10-18	2018	10	18	23:17	6.1	6	1
https://vk.com/wall-33327655_7606	2018_6.2	2018-10-18	2018	10	18	22:09	6.2	6	2
https://vk.com/wall-33327655_7518	2018_m1	2018-10-16	2018	10	16	21:30	m1	1	0
https://vk.com/wall-33327655_8329	2019_1.1	2019-10-25	2019	10	25	0:14	1.1	1	1
https://vk.com/wall-33327655_8309	2019_1.2	2019-10-22	2019	10	22	1:10	1.2	1	2
https://vk.com/wall-33327655_8328	2019_1.3	2019-10-25	2019	10	25	0:08	1.3	1	3
https://vk.com/wall-33327655_8321	2019_2.1	2019-10-23	2019	10	23	5:02	2.1	2	1
https://vk.com/wall-33327655_8323	2019_2.2	2019-10-23	2019	10	23	23:30	2.2	2	2
https://vk.com/wall-33327655_8385	2019_2.2	2019-10-29	2019	10	29	23:30	2.2	2	2
https://vk.com/wall-33327655_8330	2019_2.3	2019-10-25	2019	10	25	0:21	2.3	2	3
https://vk.com/wall-33327655_8300	2019_3.1	2019-10-20	2019	10	20	23:11	3.1	3	1
https://vk.com/wall-33327655_8277	2019_3.2	2019-10-15	2019	10	15	22:59	3.2	3	2
https://vk.com/wall-33327655_8279	2019_3.3	2019-10-15	2019	10	15	23:53	3.3	3	3
https://vk.com/wall-33327655_8322	2019_3.3	2019-10-23	2019	10	23	6:02	3.3	3	3
https://vk.com/wall-33327655_8299	2019_3.4	2019-10-20	2019	10	20	22:58	3.4	3	4
https://vk.com/wall-33327655_8293	2019_4.1	2019-10-18	2019	10	18	0:10	4.1	4	1
https://vk.com/wall-33327655_8292	2019_4.3	2019-10-17	2019	10	17	23:56	4.3	4	3
https://vk.com/wall-33327655_8308	2019_4.4	2019-10-22	2019	10	22	0:46	4.4	4	4
https://vk.com/wall-33327655_8261	2019_5.1	2019-10-13	2019	10	13	23:00	5.1	5	1
https://vk.com/wall-33327655_8262	2019_5.2	2019-10-13	2019	10	13	23:01	5.2	5	2
https://vk.com/wall-33327655_8267	2019_6.3	2019-10-14	2019	10	14	23:46	6.3	6	3
https://vk.com/wall-33327655_8266	2019_6.4	2019-10-14	2019	10	14	23:37	6.4	6	4
https://vk.com/wall-33327655_8366	2019_m1	2019-10-27	2019	10	27	21:50	m1	1	0
https://vk.com/wall-33327655_8310	2019_m2	2019-10-22	2019	10	22	1:46	m2	2	0
https://vk.com/wall-33327655_9294	2020_1.1	2020-11-06	2020	11	6	23:37	1.1	1	1
https://vk.com/wall-33327655_9308	2020_1.1	2020-11-07	2020	11	7	12:00	1.1	1	1
https://vk.com/wall-33327655_9293	2020_1.2	2020-11-06	2020	11	6	23:31	1.2	1	2
https://vk.com/wall-33327655_9254	2020_1.3	2020-11-05	2020	11	5	21:02	1.3	1	3
https://vk.com/wall-33327655_9275	2020_1.3	2020-11-06	2020	11	6	12:00	1.3	1	3
https://vk.com/wall-33327655_9251	2020_2.1	2020-11-05	2020	11	5	20:45	2.1	2	1
https://vk.com/wall-33327655_9228	2020_2.2	2020-11-04	2020	11	4	20:50	2.2	2	2
https://vk.com/wall-33327655_9229	2020_2.3	2020-11-04	2020	11	4	22:02	2.3	2	3
https://vk.com/wall-33327655_9226	2020_3.1	2020-11-03	2020	11	3	22:33	3.1	3	1
https://vk.com/wall-33327655_9212	2020_3.2	2020-11-02	2020	11	2	21:26	3.2	3	2
https://vk.com/wall-33327655_9227	2020_3.3	2020-11-03	2020	11	3	23:17	3.3	3	3
https://vk.com/wall-33327655_9213	2020_3.4	2020-11-02	2020	11	2	21:28	3.4	3	4
