year_x_year_stream	organizers
2020_1.1	Георгием Малиновским
2020_1.1	Кириллом Дехничем
2020_1.2	Софьей Евдокимовой
2020_1.2	Кириллом Дехничем
2020_1.3	Георгием Малиновским
2020_1.3	Кириллом Дехничем
2020_2.1	Софьей Евдокимовой
2020_2.1	Кириллом Дехничем
2020_2.2	Софьей Евдокимовой
2020_2.2	Алёной Лобановой
2020_2.3	Георгием Малиновским
2020_2.3	Кириллом Дехничем
2020_3.1	Софьей Евдокимовой
2020_3.2	Георгием Малиновским
2020_3.2	Алёной Лобановой
2020_3.3	Георгием Малиновским
2020_3.3	Софьей Евдокимовой
2020_3.4	Георгием Малиновским
2020_4.1	Андреем Клюевым
2020_4.1	Алёной Лобановой
2020_4.1	Кириллом Дехничем
2020_4.2	Андреем Клюевым
2020_4.2	Георгием Малиновским
2020_4.3	Георгием Малиновским
2020_4.4	Андреем Клюевым
2020_5.1	Андреем Клюевым
2020_5.1	Алёной Лобановой
2020_5.1	Кириллом Дехничем
2020_5.4	Андреем Клюевым
2020_6.1	Андреем Клюевым
2020_6.1	Георгием Малиновским
2020_6.3	Андреем Клюевым
2020_6.3	Петром Третьяковым
2020_m2	Андреем Клюевым
2020_m2	Алёной Лобановой
