year_x_year_stream	organizers
2016_1.1	Леонидом Змиевским
2016_1.1	Ильёй Денисовым
2016_1.1	Мариной Бахметьевой
2016_1.1	наблюдателем от Студенческого совета МГУ Марией Алаевой
2016_1.2	Владиславом Бун
2016_1.3	Павлом Савиным
2016_1.3	Яной Нагорных
2016_1.3	Ильёй Денисовым
2016_2.1	Павлом Савиным
2016_2.1	Яной Нагорных
2016_2.1	Юрием Проничкиным
2016_2.2	Яной Нагорных
2016_2.2	Леонидом Змиевским
2016_2.2	Павлом Савиным
2016_2.3	Никитой Кравчуком
2016_2.3	Иваном Святкиным
2016_3.1	Владиславом Бун
2016_3.2	Павлом Семенюком
2016_3.2	Анной Черновой
2016_3.2	Леонидом Змиевским
2016_3.3	Павлом Семенюком
2016_3.3	Анастасией Сурковой
2016_3.3	Юрием Проничкиным
2016_3.4	Анастасией Сурковой
2016_3.4	Анной Муравьёвой
2016_4.1	Савченко Анастасией
2016_4.1	Савиным Павлом
2016_4.1	Тюриной Татьяной
2016_4.2	Яной Нагорных
2016_4.3	Черновой Анной
2016_4.3	Савченко Анастасией
2016_5.1	Анастасией Сурковой
2016_5.1	Владиславом Бун
2016_5.2	Анной Черновой
2016_5.2	Натальей Остроуховой
2016_5.2	Павлом Семенюком
2016_5.3	Евгенией Подкользиной
2016_5.3	Павлом Савиным
2016_5.4	Анастасией Сурковой
2016_5.4	Марией Провидухиной
2016_m1	Павлом Семенюком
2016_m1	Марией Провидухиной
2016_m2	Ильёй Денисовым
