year_x_year_stream	organizers
2019_1.1	Иваном Кухарчук
2019_1.1	Андреем Клюевым
2019_1.2	Георгием Малиновским
2019_1.3	Георгием Малиновским
2019_1.3	Андреем Клюевым
2019_2.1	Георгием Малиновским
2019_2.1	Игнатом Шишкиным
2019_2.2	Андреем Шерстобитовым
2019_2.2	Рамилем Алиевым
2019_2.3	Иваном Кухарчук
2019_2.3	Андреем Клюевым
2019_3.1	Георгием Малиновским
2019_3.1	Игнатом Шишкиным
2019_3.2	Игнатом Шишкиным
2019_3.2	Георгием Малиновским
2019_3.3	Валерией Фиткович
2019_3.3	Георгием Малиновским
2019_3.3	Дмитрием Митрофановым
2019_3.4	Валерием Сенотовым
2019_4.1	Андреем Клюевым
2019_4.1	Георгием Малиновским
2019_4.3	Иваном Кухарчук
2019_4.3	Андреем Клюевым
2019_4.4	Татьяной Паниной
2019_5.1	Даниилом Фенелоновым
2019_5.1	Вероникой Мазитовой
2019_5.2	Даниилом Фенелоновым
2019_5.2	Вероникой Мазитовой
2019_6.3	Алиной Винокуровой
2019_6.3	Игнатом Шишкиным
2019_6.3	Рамилем Алиевым
2019_6.4	Георгием Малиновским
2019_m1	Валерием Сенотовым
2019_m2	Дмитрием Скурихиным
2019_m2	Георгием Малиновским
