link	year_x_year_stream	link_date	link_year_no	link_month_no	link_day_no	link_time	year_stream_no	year_no	stream_no	stream_size	voted_cnt	invalid_cnt	NOTA_cnt	organizers
https://vk.com/wall-33327655_8392	2019_1.1	2019-10-30	2019	10	30	12:15	1.1	1	1	172	94	6	3	['Иваном Кухарчук', 'Андреем Клюевым']
https://vk.com/wall-33327655_8371	2019_1.2	2019-10-27	2019	10	27	22:30	1.2	1	2	163	95	5	5	['Георгием Малиновским']
https://vk.com/wall-33327655_8391	2019_1.3	2019-10-30	2019	10	30	10:30	1.3	1	3	130	99	6	15	['Георгием Малиновским', 'Андреем Клюевым']
https://vk.com/wall-33327655_8374	2019_2.1	2019-10-27	2019	10	27	23:09	2.1	2	1	129	93	1	1	['Георгием Малиновским', 'Игнатом Шишкиным']
https://vk.com/wall-33327655_8412	2019_2.2	2019-11-01	2019	11	1	0:00	2.2	2	2	142	72	3	3	['Андреем Шерстобитовым', 'Рамилем Алиевым']
https://vk.com/wall-33327655_8388	2019_2.3	2019-10-30	2019	10	30	8:40	2.3	2	3	123	62	4	3	['Иваном Кухарчук', 'Андреем Клюевым']
https://vk.com/wall-33327655_8407	2019_3.1	2019-10-31	2019	10	31	10:30	3.1	3	1	115	58	0	3	['Георгием Малиновским', 'Игнатом Шишкиным']
https://vk.com/wall-33327655_8341	2019_3.2	2019-10-25	2019	10	25	21:46	3.2	3	2	118	62	0	13	['Игнатом Шишкиным', 'Георгием Малиновским']
https://vk.com/wall-33327655_8373	2019_3.3	2019-10-27	2019	10	27	22:50	3.3	3	3	94	47	0	2	['Валерией Фиткович', 'Георгием Малиновским', 'Дмитрием Митрофановым']
https://vk.com/wall-33327655_8367	2019_3.4	2019-10-27	2019	10	27	22:00	3.4	3	4	42	23	0	0	['Валерием Сенотовым']
https://vk.com/wall-33327655_8343	2019_4.1	2019-10-25	2019	10	25	22:01	4.1	4	1	99	54	3	8	['Андреем Клюевым', 'Георгием Малиновским']
https://vk.com/wall-33327655_8409	2019_4.3	2019-10-31	2019	10	31	23:16	4.3	4	3	107	54	0	2	['Иваном Кухарчук', 'Андреем Клюевым']
https://vk.com/wall-33327655_8370	2019_4.4	2019-10-27	2019	10	27	22:24	4.4	4	4	43	22	0	2	['Татьяной Паниной']
https://vk.com/wall-33327655_8410	2019_5.1	2019-10-31	2019	10	31	23:30	5.1	5	1	77	39	0	4	['Даниилом Фенелоновым', 'Вероникой Мазитовой']
https://vk.com/wall-33327655_8411	2019_5.2	2019-10-31	2019	10	31	23:46	5.2	5	2	82	41	0	6	['Даниилом Фенелоновым', 'Вероникой Мазитовой']
https://vk.com/wall-33327655_8396	2019_6.3	2019-10-30	2019	10	30	17:00	6.3	6	3	94	49	2	0	['Алиной Винокуровой', 'Игнатом Шишкиным', 'Рамилем Алиевым']
https://vk.com/wall-33327655_8340	2019_6.4	2019-10-25	2019	10	25	21:29	6.4	6	4	34	17	0	0	['Георгием Малиновским']
https://vk.com/wall-33327655_8408	2019_m1	2019-10-31	2019	10	31	11:00	m1	1	0	25	14	0	0	['Валерием Сенотовым']
https://vk.com/wall-33327655_8372	2019_m2	2019-10-27	2019	10	27	22:40	m2	2	0	28	18	0	1	['Дмитрием Скурихиным', 'Георгием Малиновским']
