year_x_year_stream	organizers
2015_1.1	Ильёй Денисовым
2015_1.1	Яной Нагорных
2015_1.1	Ростиславом Яшиным
2015_1.2	Павлом Савиным
2015_1.2	Рамзаном Бекбулатовым
2015_1.2	Анастасией Сурковой
2015_1.3	Константином Шведовым
2015_1.3	Леонидом Змиевским
2015_1.3	Анастасией Красновой
2015_2.1	Анастасией Сурковой
2015_2.1	Константином Шведовым
2015_2.1	Ольгой Остросаблиной
2015_2.2	Ольгой Чидякиной
2015_2.2	Леонидом Змиевским
2015_2.2	Анастасией Сурковой
2015_2.3	Анастасией Сурковой
2015_2.3	Константином Шведовым
2015_2.3	Леонидом Змиевским
2015_3.1	Анастасией Красновой
2015_3.1	Леонидом Змиевским
2015_3.1	Ростиславом Яшиным
2015_3.2	Ростиславом Яшиным
2015_3.2	Яной Нагорных
2015_3.3	Леонидом Змиевским
2015_3.3	Татьяной Тюриной
2015_3.3	Еленой Дорман
2015_4.1	Павлом Савиным
2015_4.1	Рамзаном Бекбулатовым
2015_4.1	Ольгой Остросаблиной
2015_4.2	Константином Шведовым
2015_4.2	Ильёй Денисовым
2015_4.2	Яной Нагорных
2015_4.2	а также наблюдателем от студенческого совета МГУ
2015_4.2	председателем студенческого совета ВМК Никитой Муромцевым
2015_4.3	Василиной Быстрицкой
2015_4.3	Павлом Савиным
2015_4.3	а также наблюдателем от студенческого совета МГУ
2015_4.3	председателем студенческого совета ВМК Никитой Муромцевым
2015_5.1	Анастасией Красновой
2015_5.1	Ольгой Остросаблиной
2015_5.2	Анастасией Сурковой
2015_5.2	Яной Нагорных
2015_5.2	Ильёй Денисовым
2015_5.3	Ольгой Чидякиной
2015_5.3	Анастасией Красновой
2015_m1	Павлом Савиным
2015_m2	Ираклием Глунчадзе
2015_m2	Анастасией Красновой
