conv_x_name	program_cluster
4_Денисов_Илья_Олегович	infrastructure
4_Хапкин_Артём_Владимирович	infrastructure
4_Ламтюгин_Алексей_Валерьевич	infrastructure
5_Кравчук_Никита_Валерьевич	infrastructure
5_Гулин_Никита_Викторович	infrastructure
5_Козлова_Кира_Александровна	infrastructure
6_Титов_Максим_Сергеевич	infrastructure
6_Тропин_Александр_Михайлович	infrastructure
6_Кремер_Алексей_Денисович	infrastructure
6_Мазитова_Вероника_Рустэмовна	infrastructure
6_Бекбулатов_Рамзан_Ломалиевич	infrastructure
6_Змиевский_Леонид_Вячеславович	infrastructure
6_Чидякина_Ольга_Олеговна	infrastructure
6_Садова_Карина_Александровна	infrastructure
6_Денисов_Илья_Олегович	infrastructure
6_Никулин_Михаил_Александрович	infrastructure
6_Мищенко_Алексей_Викторович	infrastructure
7_Корж_Даниил_Сергеевич	infrastructure
7_Мазитова_Вероника_Рустэмовна	infrastructure
8_Мазитова_Вероника_Рустэмовна	infrastructure
9_Воронин_Вадим_Юрьевич	infrastructure
9_Игин_Александр_Дмитриевич	infrastructure
10_Скурихин_Дмитрий_Андреевич	infrastructure
10_Дехнич_Кирилл_Андреевич	infrastructure
10_Перфильев_Демид_Артемович	infrastructure
10_Волкова_Елизавета_Васильевна	infrastructure
10_Приходко_Макар_Александрович	infrastructure
11_Чуб_Вячеслав_Валериевич	infrastructure
11_Кадников_Климентий_Сергеевич	infrastructure
2_Медведева_Яна_Григорьевна	grants
2_Тишин_Павел_Владимирович	grants
2_Владыкина_Вероника_Евгеньевна	grants
2_Котляров_Никита_Владимирович	grants
3_Дяченко_Мария_Игоревна	grants
3_Матвеев_Алексей_Викторович	grants
3_Владыкина_Вероника_Евгеньевна	grants
4_Матвеев_Дмитрий_Александрович	grants
4_Чеботаева_Виктория_Алексеевна	grants
4_Дяченко_Мария_Игоревна	grants
4_Остроухова_Наталья_Владимировна	grants
5_Нагорных_Яна_Валерьевна	grants
5_Остроухова_Наталья_Владимировна	grants
5_Подкользина_Евгения_Борисовна	grants
6_Щербаков_Владимир_Леонидович	grants
6_Назмутдинов_Аскар_Флоридович	grants
6_Провидухина_Мария_Игоревна	grants
7_Савченко_Анастасия_Игоревна	grants
7_Зарубин_Николай_Александрович	grants
8_Сенотов_Валерий_Дмитриевич	grants
9_Кухарчук_Иван_Андреевич	grants
1_Семенов_Павел	fuzzy
1_Кунденко_Вадим	fuzzy
1_Глухова_Алёна_Олеговна	fuzzy
1_Попов_Леонид_Андреевич	fuzzy
1_Артамонова_Мария_Владимировна	fuzzy
1_Чернодед_Антон_Игоревич	fuzzy
1_Савушкин_Никита_Максимович	fuzzy
2_Остроухова_Наталья_Владимировна	fuzzy
2_Габидов_Александр_Сергеевич	fuzzy
2_Дяченко_Мария_Игоревна	fuzzy
2_Ванунц_Арсений_Ашотович	fuzzy
2_Ватутин_Кирилл_Александрович	fuzzy
2_Багров_Константин_Владимирович	fuzzy
2_Лавров_Василий_Алексеевич	fuzzy
2_Оджаев_Рахмет_Курбандурдыевич	fuzzy
3_Бурнус_Артём_Владимирович	fuzzy
3_Денисов_Илья_Олегович	fuzzy
3_Суркова_Анастасия_Юрьевна	fuzzy
3_Корно_Дмитрий_Сергеевич	fuzzy
3_Изимова_Анна_Мирбулатовна	fuzzy
3_Ариас-Альварес_Владимир_Владимирович	fuzzy
3_Дорман_Елена_Вячеславовна	fuzzy
3_Глунчадзе_Ираклий_Вахтангович	fuzzy
3_Матвеев_Дмитрий_Александрович	fuzzy
3_Хасанов_Рафаэль_Ильгизович	fuzzy
3_Скопинцев_Алексей_Владимирович	fuzzy
3_Селиверстова_Елизавета_Павловна	fuzzy
3_Антонова_Ольга_Юрьевна	fuzzy
3_Сергеева_Элина_Александровна	fuzzy
3_Ласкин_Алексей_Александрович	fuzzy
3_Короткин_Виталий_Владимирович	fuzzy
4_Суркова_Анастасия_Юрьевна	fuzzy
4_Бунеев_Артём_Валерьевич	fuzzy
4_Антонов_Сергей_Валентинович	fuzzy
4_Мылзенова_Дарима_Баировна	fuzzy
4_Нечаев_Никита_Сергеевич	fuzzy
4_Яшин_Ростислав_Игоревич	fuzzy
4_Змиевский_Леонид_Вячеславович	fuzzy
4_Ахмеджанова_Маргарита	fuzzy
4_Аседова_Елизавета_Виталиевна	fuzzy
