convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time
6	4.3	4.0	3.0	https://vk.com/wall-33327655_5200	2016-10-19	23:50	2016-10-20	103.0	57.0	0.0	2.0	https://vk.com/wall-33327655_5350	2016-10-31	21:45
6	4.3	4.0	3.0	https://vk.com/wall-33327655_5313	2016-10-26	21:10	2016-10-27	103.0	57.0	0.0	2.0	https://vk.com/wall-33327655_5350	2016-10-31	21:45
7	4.3	4.0	3.0	https://vk.com/wall-33327655_6586	2017-10-11	23:05	2017-10-12	90.0	48.0	1.0	0.0	https://vk.com/wall-33327655_6625	2017-10-20	20:00
8	4.3	4.0	3.0	https://vk.com/wall-33327655_7602	2018-10-18	21:37	2018-10-19	81.0	42.0	2.0	0.0	https://vk.com/wall-33327655_7674	2018-10-26	10:00
9	4.3	4.0	3.0	https://vk.com/wall-33327655_8292	2019-10-17	23:56	2019-10-18	107.0	54.0	2.0	0.0	https://vk.com/wall-33327655_8409	2019-10-31	23:16
10	4.3	4.0	3.0	https://vk.com/wall-33327655_9179	2020-11-01	21:30	2020-11-02	93.0	49.0	2.0	0.0	https://vk.com/wall-33327655_9282	2020-11-06	15:09
11	4.3	4.0	3.0	https://vk.com/wall-33327655_9882	2021-10-07	10:10	2021-10-07	100.0	51.0	1.0	0.0	https://vk.com/wall-33327655_9960	2021-10-14	22:39
4	4.4	4.0	4.0	https://vk.com/wall-33327655_2228	2014-11-19	21:12	2014-11-20	25.0	16.0	0.0	0.0	https://vk.com/wall-33327655_2253	2014-11-21	22:30
7	4.4	4.0	4.0	https://vk.com/wall-33327655_6595	2017-10-12	22:33	2017-10-13	37.0	23.0	0.0	0.0	https://vk.com/wall-33327655_6632	2017-10-21	21:00
9	4.4	4.0	4.0	https://vk.com/wall-33327655_8308	2019-10-22	0:46	2019-10-22	43.0	22.0	2.0	0.0	https://vk.com/wall-33327655_8370	2019-10-27	22:24
10	4.4	4.0	4.0	https://vk.com/wall-33327655_9161	2020-10-30	20:40	2020-10-31	38.0	20.0	0.0	0.0	https://vk.com/wall-33327655_9272	2020-11-06	10:27
4	5.1	5.0	1.0	https://vk.com/wall-33327655_2223	2014-11-18	23:45	2014-11-19	96.0	50.0	0.0	0.0	https://vk.com/wall-33327655_2251	2014-11-21	22:20
5	5.1	5.0	1.0	https://vk.com/wall-33327655_3265	2015-10-15	1:32	2015-10-15	91.0	46.0	1.0	0.0	https://vk.com/wall-33327655_3282	2015-10-15	22:36
6	5.1	5.0	1.0	https://vk.com/wall-33327655_5144	2016-10-18	0:18	2016-10-18	74.0	43.0	1.0	1.0	https://vk.com/wall-33327655_5180	2016-10-18	23:24
7	5.1	5.0	1.0	https://vk.com/wall-33327655_6574	2017-10-09	23:01	2017-10-10	95.0	48.0	4.0	0.0	https://vk.com/wall-33327655_6619	2017-10-19	19:00
9	5.1	5.0	1.0	https://vk.com/wall-33327655_8261	2019-10-13	23:00	2019-10-14	77.0	39.0	4.0	0.0	https://vk.com/wall-33327655_8410	2019-10-31	23:30
10	5.1	5.0	1.0	https://vk.com/wall-33327655_9144	2020-10-29	10:08	2020-10-29	90.0	47.0	3.0	3.0	https://vk.com/wall-33327655_9334	2020-11-11	10:04
4	5.2	5.0	2.0	https://vk.com/wall-33327655_2217	2014-11-18	1:28	2014-11-18	70.0	35.0	0.0	0.0	https://vk.com/wall-33327655_2243	2014-11-21	22:05
5	5.2	5.0	2.0	https://vk.com/wall-33327655_3466	2015-10-27	0:54	2015-10-27	80.0	42.0	1.0	1.0	https://vk.com/wall-33327655_3510	2015-10-30	23:50
5	5.2	5.0	2.0	https://vk.com/wall-33327655_3504	2015-10-29	23:09	2015-10-30	80.0	42.0	1.0	1.0	https://vk.com/wall-33327655_3510	2015-10-30	23:50
6	5.2	5.0	2.0	https://vk.com/wall-33327655_5135	2016-10-18	0:01	2016-10-18	99.0	51.0	7.0	0.0	https://vk.com/wall-33327655_5184	2016-10-19	0:09
7	5.2	5.0	2.0	https://vk.com/wall-33327655_6576	2017-10-09	23:13	2017-10-10	76.0	39.0	1.0	0.0	https://vk.com/wall-33327655_6620	2017-10-19	20:00
9	5.2	5.0	2.0	https://vk.com/wall-33327655_8262	2019-10-13	23:01	2019-10-14	82.0	41.0	6.0	0.0	https://vk.com/wall-33327655_8411	2019-10-31	23:46
11	5.2	5.0	2.0	https://vk.com/wall-33327655_9860	2021-10-05	11:11	2021-10-05	88.0	46.0	9.0	0.0	https://vk.com/wall-33327655_9945	2021-10-14	9:15
4	5.3	5.0	3.0	https://vk.com/wall-33327655_2230	2014-11-20	0:04	2014-11-20	98.0	49.0	17.0	0.0	https://vk.com/wall-33327655_2328	2014-11-27	23:10
5	5.3	5.0	3.0	https://vk.com/wall-33327655_3442	2015-10-21	22:46	2015-10-21	86.0	49.0	9.0	3.0	https://vk.com/wall-33327655_3452	2015-10-23	21:26
6	5.3	5.0	3.0	https://vk.com/wall-33327655_5320	2016-10-26	23:07	2016-10-27	85.0	44.0	1.0	0.0	https://vk.com/wall-33327655_5344	2016-10-31	21:05
7	5.3	5.0	3.0	https://vk.com/wall-33327655_6585	2017-10-11	22:42	2017-10-12	104.0	58.0	6.0	0.0	https://vk.com/wall-33327655_6628	2017-10-21	20:00
8	5.3	5.0	3.0	https://vk.com/wall-33327655_7656	2018-10-25	0:01	2018-10-25	89.0	45.0	0.0	1.0	https://vk.com/wall-33327655_7696	2018-11-02	22:39
11	5.3	5.0	3.0	https://vk.com/wall-33327655_9858	2021-10-05	10:35	2021-10-05	89.0	46.0	1.0	0.0	https://vk.com/wall-33327655_9912	2021-10-12	20:20
6	5.4	5.0	4.0	https://vk.com/wall-33327655_5106	2016-10-16	20:13	2016-10-17	48.0	40.0	5.0	1.0	https://vk.com/wall-33327655_5167	2016-10-18	21:37
8	5.4	5.0	4.0	https://vk.com/wall-33327655_7620	2018-10-21	23:49	2018-10-22	35.0	18.0	1.0	0.0	https://vk.com/wall-33327655_7707	2018-11-10	14:00
10	5.4	5.0	4.0	https://vk.com/wall-33327655_9133	2020-10-28	12:00	2020-10-28	42.0	21.0	0.0	0.0	https://vk.com/wall-33327655_9268	2020-11-05	23:37
11	5.4	5.0	4.0	https://vk.com/wall-33327655_9853	2021-10-04	10:47	2021-10-04	37.0	21.0	0.0	0.0	https://vk.com/wall-33327655_9878	2021-10-06	20:36
8	6.1	6.0	1.0	https://vk.com/wall-33327655_7610	2018-10-18	23:17	2018-10-19	90.0	45.0	0.0	2.0	https://vk.com/wall-33327655_7766	2018-11-22	22:15
10	6.1	6.0	1.0	https://vk.com/wall-33327655_9126	2020-10-26	21:15	2020-10-27	78.0	39.0	11.0	0.0	https://vk.com/wall-33327655_9267	2020-11-05	22:14
11	6.1	6.0	1.0	https://vk.com/wall-33327655_9978	2021-10-16	10:25	2021-10-16	87.0	44.0	6.0	0.0	https://vk.com/wall-33327655_10026	2021-10-21	15:44
7	6.2	6.0	2.0	https://vk.com/wall-33327655_6562	2017-10-08	21:44	2017-10-09	97.0	50.0	5.0	5.0	https://vk.com/wall-33327655_6717	2017-11-08	14:00
8	6.2	6.0	2.0	https://vk.com/wall-33327655_7606	2018-10-18	22:09	2018-10-19	77.0	40.0	3.0	0.0	https://vk.com/wall-33327655_7704	2018-11-09	20:00
7	6.3	6.0	3.0	https://vk.com/wall-33327655_6564	2017-10-08	22:17	2017-10-09	85.0	44.0	2.0	0.0	https://vk.com/wall-33327655_6689	2017-10-31	21:00
9	6.3	6.0	3.0	https://vk.com/wall-33327655_8267	2019-10-14	23:46	2019-10-15	94.0	49.0	0.0	2.0	https://vk.com/wall-33327655_8396	2019-10-30	17:00
10	6.3	6.0	3.0	https://vk.com/wall-33327655_9127	2020-10-26	21:16	2020-10-27	80.0	42.0	3.0	0.0	https://vk.com/wall-33327655_9205	2020-11-02	20:30
11	6.3	6.0	3.0	https://vk.com/wall-33327655_9982	2021-10-16	10:50	2021-10-16	93.0	47.0	3.0	0.0	https://vk.com/wall-33327655_10031	2021-10-21	22:02
7	6.4	6.0	4.0	https://vk.com/wall-33327655_6572	2017-10-09	22:45	2017-10-10	47.0	29.0	0.0	0.0	https://vk.com/wall-33327655_6693	2017-10-31	21:30
9	6.4	6.0	4.0	https://vk.com/wall-33327655_8266	2019-10-14	23:37	2019-10-15	34.0	17.0	0.0	0.0	https://vk.com/wall-33327655_8340	2019-10-25	21:29
4	m1	1.0	0.0	https://vk.com/wall-33327655_2213	2014-11-16	22:03	2014-11-17	32.0	19.0	0.0	2.0	https://vk.com/wall-33327655_2326	2014-11-27	23:05
5	m1	1.0	0.0	https://vk.com/wall-33327655_3337	2015-10-19	0:42	2015-10-19	28.0	19.0	0.0	0.0	https://vk.com/wall-33327655_3465	2015-10-27	0:18
5	m1	1.0	0.0	https://vk.com/wall-33327655_3455	2015-10-25	23:50	2015-10-26	28.0	19.0	0.0	0.0	https://vk.com/wall-33327655_3465	2015-10-27	0:18
6	m1	1.0	0.0	https://vk.com/wall-33327655_5097	2016-10-16	19:27	2016-10-17	28.0	15.0	0.0	0.0	https://vk.com/wall-33327655_5268	2016-10-24	20:26
6	m1	1.0	0.0	https://vk.com/wall-33327655_5262	2016-10-23	20:18	2016-10-24	28.0	15.0	0.0	0.0	https://vk.com/wall-33327655_5268	2016-10-24	20:26
8	m1	1.0	0.0	https://vk.com/wall-33327655_7518	2018-10-16	21:30	2018-10-17	29.0	20.0	0.0	0.0	https://vk.com/wall-33327655_7695	2018-11-02	22:33
9	m1	1.0	0.0	https://vk.com/wall-33327655_8366	2019-10-27	21:50	2019-10-28	25.0	14.0	0.0	0.0	https://vk.com/wall-33327655_8408	2019-10-31	11:00
11	m1	1.0	0.0	https://vk.com/wall-33327655_9983	2021-10-16	11:20	2021-10-16	51.0	26.0	3.0	0.0	https://vk.com/wall-33327655_10018	2021-10-20	20:21
5	m2	2.0	0.0	https://vk.com/wall-33327655_3187	2015-10-13	10:40	2015-10-13	17.0	13.0	0.0	0.0	https://vk.com/wall-33327655_3416	2015-10-20	21:47
5	m2	2.0	0.0	https://vk.com/wall-33327655_3364	2015-10-20	0:45	2015-10-20	17.0	13.0	0.0	0.0	https://vk.com/wall-33327655_3416	2015-10-20	21:47
6	m2	2.0	0.0	https://vk.com/wall-33327655_5157	2016-10-18	1:27	2016-10-18	18.0	11.0	1.0	0.0	https://vk.com/wall-33327655_5182	2016-10-18	23:39
9	m2	2.0	0.0	https://vk.com/wall-33327655_8310	2019-10-22	1:46	2019-10-22	28.0	18.0	1.0	0.0	https://vk.com/wall-33327655_8372	2019-10-27	22:40
10	m2	2.0	0.0	https://vk.com/wall-33327655_9152	2020-10-30	10:32	2020-10-30	18.0	12.0	0.0	0.0	https://vk.com/wall-33327655_9310	2020-11-07	22:38
1	3.4							29.0	21.0	21.0		https://vk.com/topic-33327655_26089737	2012-03-07	2:03
1	4.4							32.0	20.0	0.0		https://vk.com/topic-33327655_26089874	2012-03-07	18:55
4	m2							9.0	5.0	0.0	0.0	https://vk.com/wall-33327655_2313	2014-11-25	23:24
