convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time
6	1.1	1.0	1.0	https://vk.com/wall-33327655_5109	2016-10-16	21:04	2016-10-17	157.0	95.0	26.0	2.0	https://vk.com/wall-33327655_5269	2016-10-24	20:34
6	1.1	1.0	1.0	https://vk.com/wall-33327655_5261	2016-10-23	20:02	2016-10-24	157.0	95.0	26.0	2.0	https://vk.com/wall-33327655_5269	2016-10-24	20:34
7	1.1	1.0	1.0	https://vk.com/wall-33327655_6656	2017-10-26	23:23	2017-10-27	155.0	102.0	2.0	2.0	https://vk.com/wall-33327655_6665	2017-10-27	22:00
8	1.1	1.0	1.0	https://vk.com/wall-33327655_7621	2018-10-23	0:00	2018-10-23	168.0	117.0	4.0	7.0	https://vk.com/wall-33327655_7676	2018-10-26	17:00
9	1.1	1.0	1.0	https://vk.com/wall-33327655_8329	2019-10-25	0:14	2019-10-25	172.0	94.0	3.0	6.0	https://vk.com/wall-33327655_8392	2019-10-30	12:15
10	1.1	1.0	1.0	https://vk.com/wall-33327655_9294	2020-11-06	23:37	2020-11-07	153.0	77.0	1.0	1.0	https://vk.com/wall-33327655_9356	2020-11-12	16:03
10	1.1	1.0	1.0	https://vk.com/wall-33327655_9308	2020-11-07	12:00	2020-11-07	153.0	77.0	1.0	1.0	https://vk.com/wall-33327655_9356	2020-11-12	16:03
11	1.1	1.0	1.0	https://vk.com/wall-33327655_9970	2021-10-15	11:11	2021-10-15	141.0	71.0	8.0	0.0	https://vk.com/wall-33327655_10001	2021-10-17	22:02
4	1.2	1.0	2.0	https://vk.com/wall-33327655_2225	2014-11-19	21:07	2014-11-20	136.0	95.0	6.0	4.0	https://vk.com/wall-33327655_2252	2014-11-21	22:25
4	1.2	1.0	2.0	https://vk.com/wall-33327655_2232	2014-11-19	21:07	2014-11-20	136.0	95.0	6.0	4.0	https://vk.com/wall-33327655_2252	2014-11-21	22:25
5	1.2	1.0	2.0	https://vk.com/wall-33327655_3365	2015-10-20	0:50	2015-10-20	154.0	91.0	25.0	1.0	https://vk.com/wall-33327655_3413	2015-10-20	21:00
6	1.2	1.0	2.0	https://vk.com/wall-33327655_5086	2016-10-14	22:25	2016-10-15	154.0	120.0	12.0	5.0	https://vk.com/wall-33327655_5089	2016-10-15	18:45
8	1.2	1.0	2.0	https://vk.com/wall-33327655_7479	2018-10-12	21:45	2018-10-13	151.0	104.0	8.0	2.0	https://vk.com/wall-33327655_7509	2018-10-14	21:00
9	1.2	1.0	2.0	https://vk.com/wall-33327655_8309	2019-10-22	1:10	2019-10-22	163.0	95.0	5.0	5.0	https://vk.com/wall-33327655_8371	2019-10-27	22:30
10	1.2	1.0	2.0	https://vk.com/wall-33327655_9293	2020-11-06	23:31	2020-11-07	161.0	84.0	2.0	2.0	https://vk.com/wall-33327655_9355	2020-11-11	22:02
11	1.2	1.0	2.0	https://vk.com/wall-33327655_9950	2021-10-14	10:20	2021-10-14	138.0	73.0	15.0	0.0	https://vk.com/wall-33327655_10009	2021-10-19	14:08
4	1.3	1.0	3.0	https://vk.com/wall-33327655_2234	2014-11-21	1:42	2014-11-21	138.0	83.0	2.0	1.0	https://vk.com/wall-33327655_2254	2014-11-21	22:35
5	1.3	1.0	3.0	https://vk.com/wall-33327655_3366	2015-10-20	1:14	2015-10-20	129.0	107.0	1.0	2.0	https://vk.com/wall-33327655_3414	2015-10-20	21:34
6	1.3	1.0	3.0	https://vk.com/wall-33327655_5065	2016-10-13	23:10	2016-10-14	132.0	110.0	11.0	1.0	https://vk.com/wall-33327655_5088	2016-10-15	18:40
7	1.3	1.0	3.0	https://vk.com/wall-33327655_6681	2017-10-30	23:18	2017-10-31	127.0	86.0	17.0	5.0	https://vk.com/wall-33327655_6683	2017-10-31	19:55
8	1.3	1.0	3.0	https://vk.com/wall-33327655_7645	2018-10-23	23:38	2018-10-24	123.0	98.0	5.0	3.0	https://vk.com/wall-33327655_7685	2018-10-27	14:00
8	1.3	1.0	3.0	https://vk.com/wall-33327655_7650	2018-10-23	23:38	2018-10-24	123.0	98.0	5.0	3.0	https://vk.com/wall-33327655_7685	2018-10-27	14:00
9	1.3	1.0	3.0	https://vk.com/wall-33327655_8328	2019-10-25	0:08	2019-10-25	130.0	99.0	15.0	6.0	https://vk.com/wall-33327655_8391	2019-10-30	10:30
10	1.3	1.0	3.0	https://vk.com/wall-33327655_9254	2020-11-05	21:02	2020-11-06	122.0	68.0	0.0	0.0	https://vk.com/wall-33327655_9351	2020-11-11	19:03
10	1.3	1.0	3.0	https://vk.com/wall-33327655_9275	2020-11-06	12:00	2020-11-06	122.0	68.0	0.0	0.0	https://vk.com/wall-33327655_9351	2020-11-11	19:03
11	1.3	1.0	3.0	https://vk.com/wall-33327655_9969	2021-10-15	10:44	2021-10-15	109.0	63.0	4.0	0.0	https://vk.com/wall-33327655_10000	2021-10-17	21:05
