convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time	quota	applications_cnt	elected_cnt
10	4.1	4.0	1.0	https://vk.com/wall-33327655_9181	2020-11-01	21:54	2020-11-02	91.0	54.0	0.0	1.0	https://vk.com/wall-33327655_9316	2020-11-08	17:18	3	4	3
10	4.2	4.0	2.0	https://vk.com/wall-33327655_9157	2020-10-30	20:04	2020-10-31	116.0	58.0	2.0	0.0	https://vk.com/wall-33327655_9333	2020-11-10	21:09	3	3	3
10	4.2	4.0	2.0	https://vk.com/wall-33327655_9166	2020-10-31	12:00	2020-10-31	116.0	58.0	2.0	0.0	https://vk.com/wall-33327655_9333	2020-11-10	21:09	3	3	3
10	4.3	4.0	3.0	https://vk.com/wall-33327655_9179	2020-11-01	21:30	2020-11-02	93.0	49.0	2.0	0.0	https://vk.com/wall-33327655_9282	2020-11-06	15:09	3	3	3
10	4.4	4.0	4.0	https://vk.com/wall-33327655_9161	2020-10-30	20:40	2020-10-31	38.0	20.0	0.0	0.0	https://vk.com/wall-33327655_9272	2020-11-06	10:27	2	2	2
10	5.1	5.0	1.0	https://vk.com/wall-33327655_9144	2020-10-29	10:08	2020-10-29	90.0	47.0	3.0	3.0	https://vk.com/wall-33327655_9334	2020-11-11	10:04	3	4	3
10	5.4	5.0	4.0	https://vk.com/wall-33327655_9133	2020-10-28	12:00	2020-10-28	42.0	21.0	0.0	0.0	https://vk.com/wall-33327655_9268	2020-11-05	23:37	2	1	1
10	6.1	6.0	1.0	https://vk.com/wall-33327655_9126	2020-10-26	21:15	2020-10-27	78.0	39.0	11.0	0.0	https://vk.com/wall-33327655_9267	2020-11-05	22:14	3	1	1
10	6.3	6.0	3.0	https://vk.com/wall-33327655_9127	2020-10-26	21:16	2020-10-27	80.0	42.0	3.0	0.0	https://vk.com/wall-33327655_9205	2020-11-02	20:30	3	1	1
10	m2	2.0	0.0	https://vk.com/wall-33327655_9152	2020-10-30	10:32	2020-10-30	18.0	12.0	0.0	0.0	https://vk.com/wall-33327655_9310	2020-11-07	22:38	1	1	1
11	1.1	1.0	1.0	https://vk.com/wall-33327655_9970	2021-10-15	11:11	2021-10-15	141.0	71.0	8.0	0.0	https://vk.com/wall-33327655_10001	2021-10-17	22:02	3	3	3
11	1.2	1.0	2.0	https://vk.com/wall-33327655_9950	2021-10-14	10:20	2021-10-14	138.0	73.0	15.0	0.0	https://vk.com/wall-33327655_10009	2021-10-19	14:08	3	1	1
11	1.3	1.0	3.0	https://vk.com/wall-33327655_9969	2021-10-15	10:44	2021-10-15	109.0	63.0	4.0	0.0	https://vk.com/wall-33327655_10000	2021-10-17	21:05	3	3	3
11	2.1	2.0	1.0	https://vk.com/wall-33327655_9936	2021-10-13	11:44	2021-10-13	127.0	66.0	6.0	0.0	https://vk.com/wall-33327655_9998	2021-10-17	20:02	3	3	3
11	2.2	2.0	2.0	https://vk.com/wall-33327655_9901	2021-10-12	10:40	2021-10-12	122.0	70.0	4.0	0.0	https://vk.com/wall-33327655_9985	2021-10-16	19:05	3	2	2
11	2.3	2.0	3.0	https://vk.com/wall-33327655_9932	2021-10-13	11:21	2021-10-13	95.0	48.0	0.0	0.0	https://vk.com/wall-33327655_9989	2021-10-16	23:03	3	3	3
11	2.5	2.0	5.0	https://vk.com/wall-33327655_9900	2021-10-12	10:10	2021-10-12	21.0	11.0	0.0	0.0	https://vk.com/wall-33327655_9984	2021-10-16	17:02	1	1	1
11	3.1	3.0	1.0	https://vk.com/wall-33327655_9894	2021-10-11	11:48	2021-10-11	105.0	53.0	4.0	0.0	https://vk.com/wall-33327655_10007	2021-10-19	11:05	3	2	2
11	3.2	3.0	2.0	https://vk.com/wall-33327655_9889	2021-10-08	11:44	2021-10-08	104.0	52.0	4.0	0.0	https://vk.com/wall-33327655_9992	2021-10-17	15:35	3	2	2
11	3.3	3.0	3.0	https://vk.com/wall-33327655_9895	2021-10-11	11:58	2021-10-11	97.0	52.0	6.0	0.0	https://vk.com/wall-33327655_9976	2021-10-15	23:11	3	3	3
11	3.4	3.0	4.0	https://vk.com/wall-33327655_9888	2021-10-08	11:33	2021-10-08	42.0	23.0	0.0	0.0	https://vk.com/wall-33327655_9905	2021-10-12	13:04	2	2	2
11	3.5	3.0	5.0	https://vk.com/wall-33327655_9887	2021-10-08	11:23	2021-10-08	14.0	8.0	0.0	0.0	https://vk.com/wall-33327655_9906	2021-10-12	14:04	1	2	1
11	4.3	4.0	3.0	https://vk.com/wall-33327655_9882	2021-10-07	10:10	2021-10-07	100.0	51.0	1.0	0.0	https://vk.com/wall-33327655_9960	2021-10-14	22:39	3	2	2
11	5.2	5.0	2.0	https://vk.com/wall-33327655_9860	2021-10-05	11:11	2021-10-05	88.0	46.0	9.0	0.0	https://vk.com/wall-33327655_9945	2021-10-14	9:15	3	1	1
11	5.3	5.0	3.0	https://vk.com/wall-33327655_9858	2021-10-05	10:35	2021-10-05	89.0	46.0	1.0	0.0	https://vk.com/wall-33327655_9912	2021-10-12	20:20	3	3	3
11	5.4	5.0	4.0	https://vk.com/wall-33327655_9853	2021-10-04	10:47	2021-10-04	37.0	21.0	0.0	0.0	https://vk.com/wall-33327655_9878	2021-10-06	20:36	2	2	2
11	6.1	6.0	1.0	https://vk.com/wall-33327655_9978	2021-10-16	10:25	2021-10-16	87.0	44.0	6.0	0.0	https://vk.com/wall-33327655_10026	2021-10-21	15:44	3	2	2
11	6.3	6.0	3.0	https://vk.com/wall-33327655_9982	2021-10-16	10:50	2021-10-16	93.0	47.0	3.0	0.0	https://vk.com/wall-33327655_10031	2021-10-21	22:02	3	1	1
11	m1	1.0	0.0	https://vk.com/wall-33327655_9983	2021-10-16	11:20	2021-10-16	51.0	26.0	3.0	0.0	https://vk.com/wall-33327655_10018	2021-10-20	20:21	3	3	3
