convocation_no	year_stream_no	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	link	link_date	link_time
7	2.2	134	106	7	3.0	https://vk.com/wall-33327655_6654	2017-10-25	22:24
7	2.3	110	61	6	1.0	https://vk.com/wall-33327655_6668	2017-10-27	22:30
7	3.1	103	53	2	2.0	https://vk.com/wall-33327655_6651	2017-10-25	20:14
7	3.3	85	47	2	0.0	https://vk.com/wall-33327655_6647	2017-10-24	23:50
7	4.1	69	35	1	0.0	https://vk.com/wall-33327655_6639	2017-10-24	17:30
7	4.2	81	43	0	0.0	https://vk.com/wall-33327655_6624	2017-10-20	19:00
7	4.3	90	48	1	0.0	https://vk.com/wall-33327655_6625	2017-10-20	20:00
7	4.4	37	23	0	0.0	https://vk.com/wall-33327655_6632	2017-10-21	21:00
7	5.1	95	48	4	0.0	https://vk.com/wall-33327655_6619	2017-10-19	19:00
7	5.2	76	39	1	0.0	https://vk.com/wall-33327655_6620	2017-10-19	20:00
7	5.3	104	58	6	0.0	https://vk.com/wall-33327655_6628	2017-10-21	20:00
7	6.2	97	50	5	5.0	https://vk.com/wall-33327655_6717	2017-11-08	14:00
7	6.3	85	44	2	0.0	https://vk.com/wall-33327655_6689	2017-10-31	21:00
7	6.4	47	29	0	0.0	https://vk.com/wall-33327655_6693	2017-10-31	21:30
8	1.1	168	117	4	7.0	https://vk.com/wall-33327655_7676	2018-10-26	17:00
8	1.2	151	104	8	2.0	https://vk.com/wall-33327655_7509	2018-10-14	21:00
8	1.3	123	98	5	3.0	https://vk.com/wall-33327655_7685	2018-10-27	14:00
8	2.1	134	81	1	5.0	https://vk.com/wall-33327655_7677	2018-10-26	19:00
8	2.3	107	75	4	1.0	https://vk.com/wall-33327655_7684	2018-10-27	12:00
8	3.1	107	58	11	3.0	https://vk.com/wall-33327655_7675	2018-10-26	14:00
8	3.2	94	49	4	1.0	https://vk.com/wall-33327655_7728	2018-11-12	22:56
8	3.3	103	55	8	0.0	https://vk.com/wall-33327655_7670	2018-10-25	23:52
8	3.4	40	25	0	0.0	https://vk.com/wall-33327655_7681	2018-10-27	10:00
8	4.1	86	45	11	2.0	https://vk.com/wall-33327655_7694	2018-11-02	22:25
8	4.2	76	40	0	1.0	https://vk.com/wall-33327655_7741	2018-11-15	20:20
8	4.3	81	42	2	0.0	https://vk.com/wall-33327655_7674	2018-10-26	10:00
8	5.3	89	45	0	1.0	https://vk.com/wall-33327655_7696	2018-11-02	22:39
8	5.4	35	18	1	0.0	https://vk.com/wall-33327655_7707	2018-11-10	14:00
8	6.1	90	45	0	2.0	https://vk.com/wall-33327655_7766	2018-11-22	22:15
8	6.2	77	40	3	0.0	https://vk.com/wall-33327655_7704	2018-11-09	20:00
8	m1	29	20	0	0.0	https://vk.com/wall-33327655_7695	2018-11-02	22:33
9	1.1	172	94	3	6.0	https://vk.com/wall-33327655_8392	2019-10-30	12:15
9	1.2	163	95	5	5.0	https://vk.com/wall-33327655_8371	2019-10-27	22:30
9	1.3	130	99	15	6.0	https://vk.com/wall-33327655_8391	2019-10-30	10:30
9	2.1	129	93	1	1.0	https://vk.com/wall-33327655_8374	2019-10-27	23:09
9	2.2	142	72	3	3.0	https://vk.com/wall-33327655_8412	2019-11-01	0:00
9	2.3	123	62	3	4.0	https://vk.com/wall-33327655_8388	2019-10-30	8:40
9	3.1	115	58	3	0.0	https://vk.com/wall-33327655_8407	2019-10-31	10:30
9	3.2	118	62	13	0.0	https://vk.com/wall-33327655_8341	2019-10-25	21:46
9	3.3	94	47	2	0.0	https://vk.com/wall-33327655_8373	2019-10-27	22:50
9	3.4	42	23	0	0.0	https://vk.com/wall-33327655_8367	2019-10-27	22:00
9	4.1	99	54	8	3.0	https://vk.com/wall-33327655_8343	2019-10-25	22:01
9	4.3	107	54	2	0.0	https://vk.com/wall-33327655_8409	2019-10-31	23:16
9	4.4	43	22	2	0.0	https://vk.com/wall-33327655_8370	2019-10-27	22:24
9	5.1	77	39	4	0.0	https://vk.com/wall-33327655_8410	2019-10-31	23:30
9	5.2	82	41	6	0.0	https://vk.com/wall-33327655_8411	2019-10-31	23:46
9	6.3	94	49	0	2.0	https://vk.com/wall-33327655_8396	2019-10-30	17:00
9	6.4	34	17	0	0.0	https://vk.com/wall-33327655_8340	2019-10-25	21:29
9	m1	25	14	0	0.0	https://vk.com/wall-33327655_8408	2019-10-31	11:00
9	m2	28	18	1	0.0	https://vk.com/wall-33327655_8372	2019-10-27	22:40
10	1.1	153	77	1	1.0	https://vk.com/wall-33327655_9356	2020-11-12	16:03
10	1.2	161	84	2	2.0	https://vk.com/wall-33327655_9355	2020-11-11	22:02
10	1.3	122	68	0	0.0	https://vk.com/wall-33327655_9351	2020-11-11	19:03
10	2.1	150	76	2	7.0	https://vk.com/wall-33327655_9342	2020-11-11	16:03
10	2.2	148	75	8	0.0	https://vk.com/wall-33327655_9340	2020-11-11	13:03
10	2.3	103	56	1	0.0	https://vk.com/wall-33327655_9357	2020-11-12	21:28
10	3.1	104	52	0	2.0	https://vk.com/wall-33327655_9328	2020-11-09	21:57
10	3.2	118	59	11	0.0	https://vk.com/wall-33327655_9317	2020-11-08	20:09
10	3.3	111	59	0	1.0	https://vk.com/wall-33327655_9326	2020-11-09	18:19
10	3.4	46	24	0	1.0	https://vk.com/wall-33327655_9321	2020-11-09	12:06
10	4.1	91	54	0	1.0	https://vk.com/wall-33327655_9316	2020-11-08	17:18
10	4.2	116	58	2	0.0	https://vk.com/wall-33327655_9333	2020-11-10	21:09
10	4.3	93	49	2	0.0	https://vk.com/wall-33327655_9282	2020-11-06	15:09
10	4.4	38	20	0	0.0	https://vk.com/wall-33327655_9272	2020-11-06	10:27
10	5.1	90	47	3	3.0	https://vk.com/wall-33327655_9334	2020-11-11	10:04
10	5.4	42	21	0	0.0	https://vk.com/wall-33327655_9268	2020-11-05	23:37
10	6.1	78	39	11	0.0	https://vk.com/wall-33327655_9267	2020-11-05	22:14
10	6.3	80	42	3	0.0	https://vk.com/wall-33327655_9205	2020-11-02	20:30
10	m2	18	12	0	0.0	https://vk.com/wall-33327655_9310	2020-11-07	22:38
11	1.1	141	71	8	0.0	https://vk.com/wall-33327655_10001	2021-10-17	22:02
11	1.2	138	73	15	0.0	https://vk.com/wall-33327655_10009	2021-10-19	14:08
11	1.3	109	63	4	0.0	https://vk.com/wall-33327655_10000	2021-10-17	21:05
11	2.1	127	66	6	0.0	https://vk.com/wall-33327655_9998	2021-10-17	20:02
11	2.2	122	70	4	0.0	https://vk.com/wall-33327655_9985	2021-10-16	19:05
11	2.3	95	48	0	0.0	https://vk.com/wall-33327655_9989	2021-10-16	23:03
11	2.5	21	11	0	0.0	https://vk.com/wall-33327655_9984	2021-10-16	17:02
11	3.1	105	53	4	0.0	https://vk.com/wall-33327655_10007	2021-10-19	11:05
11	3.2	104	52	4	0.0	https://vk.com/wall-33327655_9992	2021-10-17	15:35
11	3.3	97	52	6	0.0	https://vk.com/wall-33327655_9976	2021-10-15	23:11
11	3.4	42	23	0	0.0	https://vk.com/wall-33327655_9905	2021-10-12	13:04
11	3.5	14	8	0	0.0	https://vk.com/wall-33327655_9906	2021-10-12	14:04
11	4.3	100	51	1	0.0	https://vk.com/wall-33327655_9960	2021-10-14	22:39
11	5.2	88	46	9	0.0	https://vk.com/wall-33327655_9945	2021-10-14	9:15
11	5.3	89	46	1	0.0	https://vk.com/wall-33327655_9912	2021-10-12	20:20
11	5.4	37	21	0	0.0	https://vk.com/wall-33327655_9878	2021-10-06	20:36
11	6.1	87	44	6	0.0	https://vk.com/wall-33327655_10026	2021-10-21	15:44
11	6.3	93	47	3	0.0	https://vk.com/wall-33327655_10031	2021-10-21	22:02
11	m1	51	26	3	0.0	https://vk.com/wall-33327655_10018	2021-10-20	20:21
